driverStandingsId,raceId,driverId,points,position,wins
69768,1010,832,0,20,0
69767,1010,817,0,19,0
69766,1010,154,0,18,0
69765,1010,9,0,17,0
69764,1010,847,0,16,0
69763,1010,841,0,15,0
69762,1010,848,0,14,0
69761,1010,815,0,13,0
69760,1010,846,0,12,0
69750,1010,1,18,2,0
69230,1012,1,68,1,2
69759,1010,842,0,11,0
69758,1010,826,1,10,0
69757,1010,840,2,9,0
69756,1010,8,4,8,0
69755,1010,807,6,7,0
69754,1010,825,8,6,0
69753,1010,844,10,5,0
69752,1010,20,12,4,0
69751,1010,830,15,3,0
69749,1010,822,26,1,1
69229,1012,822,62,2,1
69227,1011,817,0,18,0
69226,1011,154,0,19,0
69224,1011,847,0,16,0
69222,1011,848,2,11,0
69219,1011,842,4,10,0
69216,1011,8,10,6,0
69211,1011,830,27,3,0
69228,1011,832,0,20,0
69223,1011,841,0,15,0
69218,1011,826,1,13,0
69225,1011,9,0,17,0
69220,1011,846,8,7,0
69215,1011,807,6,9,0
69221,1011,815,1,14,0
69217,1011,840,2,12,0
69214,1011,825,8,8,0
69213,1011,844,26,4,0
69212,1011,20,22,5,0
69210,1011,1,43,2,1
69209,1011,822,44,1,1
69231,1012,830,39,3,0
69232,1012,20,37,4,0
69233,1012,844,36,5,0
69234,1012,825,8,9,0
69235,1012,807,6,10,0
69236,1012,8,12,7,0
69237,1012,840,2,14,0
69238,1012,826,1,15,0
69239,1012,842,13,6,0
69240,1012,846,8,8,0
69241,1012,815,5,12,0
69242,1012,848,3,13,0
69243,1012,841,0,16,0
69244,1012,847,0,19,0
69245,1012,9,0,20,0
69246,1012,154,0,17,0
69247,1012,817,6,11,0
69248,1012,832,0,18,0
69249,1013,822,87,1,2
69250,1013,1,86,2,2
69251,1013,830,51,4,0
69252,1013,20,52,3,0
69253,1013,844,47,5,0
69254,1013,825,8,10,0
69255,1013,807,6,11,0
69256,1013,8,13,8,0
69257,1013,840,4,14,0
69258,1013,826,1,16,0
69259,1013,842,13,7,0
69260,1013,846,12,9,0
69261,1013,815,13,6,0
69262,1013,848,3,15,0
69263,1013,841,0,17,0
69264,1013,847,0,19,0
69265,1013,9,0,20,0
69266,1013,154,0,18,0
69267,1013,817,6,13,0
69268,1013,832,6,12,0
69308,1014,832,10,11,0
69307,1014,817,6,12,0
69306,1014,154,1,17,0
69305,1014,9,0,20,0
69303,1014,841,0,18,0
69302,1014,848,3,15,0
69299,1014,842,21,6,0
69297,1014,840,4,14,0
69296,1014,8,13,9,0
69293,1014,844,57,5,0
69291,1014,830,66,3,0
69290,1014,1,112,1,3
69301,1014,815,13,8,0
69298,1014,826,3,16,0
69300,1014,846,12,10,0
69289,1014,822,105,2,2
69304,1014,847,0,19,0
69292,1014,20,64,4,0
69295,1014,807,6,13,0
69294,1014,825,14,7,0
69309,1015,822,120,2,2
69310,1015,1,137,1,4
69311,1015,830,78,4,0
69312,1015,20,82,3,0
69313,1015,844,57,5,0
69314,1015,825,14,8,0
69315,1015,807,6,15,0
69316,1015,8,13,10,0
69317,1015,840,4,16,0
69318,1015,826,9,12,0
69319,1015,842,32,6,0
69320,1015,846,12,11,0
69321,1015,815,13,9,0
69322,1015,848,7,14,0
69323,1015,841,0,18,0
69324,1015,847,0,19,0
69325,1015,9,0,20,0
69326,1015,154,2,17,0
69327,1015,817,8,13,0
69328,1015,832,18,7,0
69329,1016,822,133,2,2
69330,1016,1,162,1,5
69331,1016,830,88,4,0
69332,1016,20,100,3,0
69333,1016,844,72,5,0
69334,1016,825,14,9,0
69335,1016,807,12,13,0
69336,1016,8,13,11,0
69337,1016,840,6,16,0
69338,1016,826,10,14,0
69339,1016,842,36,6,0
69340,1016,846,12,12,0
69341,1016,815,13,10,0
69342,1016,848,7,15,0
69343,1016,841,0,18,0
69344,1016,847,0,19,0
69345,1016,9,0,20,0
69346,1016,154,2,17,0
69347,1016,817,16,8,0
69348,1016,832,18,7,0
69424,1017,847,0,19,0
69428,1017,832,26,7,0
69416,1017,8,19,8,0
69417,1017,840,6,16,0
69409,1017,822,151,2,2
69427,1017,817,16,9,0
69426,1017,154,2,17,0
69425,1017,9,0,20,0
69423,1017,841,0,18,0
69422,1017,848,7,15,0
69421,1017,815,13,13,0
69419,1017,842,37,6,0
69420,1017,846,14,12,0
69418,1017,826,10,14,0
69414,1017,825,14,11,0
69415,1017,807,16,10,0
69413,1017,844,87,5,0
69412,1017,20,111,3,0
69411,1017,830,100,4,0
69410,1017,1,187,1,6
69429,1018,822,166,2,2
69430,1018,1,197,1,6
69431,1018,830,126,3,1
69432,1018,20,123,4,0
69433,1018,844,105,5,0
69434,1018,825,14,12,0
69435,1018,807,16,11,0
69436,1018,8,21,9,0
69437,1018,840,6,16,0
69438,1018,826,10,14,0
69439,1018,842,43,6,0
69440,1018,846,22,8,0
69441,1018,815,13,13,0
69442,1018,848,7,15,0
69443,1018,841,1,18,0
69444,1018,847,0,19,0
69445,1018,9,0,20,0
69446,1018,154,2,17,0
69447,1018,817,16,10,0
69448,1018,832,30,7,0
69449,1019,822,184,2,2
69450,1019,1,223,1,7
69451,1019,830,136,3,1
69452,1019,20,123,4,0
69453,1019,844,120,5,0
69454,1019,825,14,12,0
69455,1019,807,17,11,0
69456,1019,8,25,8,0
69457,1019,840,6,16,0
69458,1019,826,12,14,0
69459,1019,842,55,6,0
69460,1019,846,22,9,0
69461,1019,815,13,13,0
69462,1019,848,7,15,0
69463,1019,841,1,18,0
69464,1019,847,0,19,0
69465,1019,9,0,20,0
69466,1019,154,2,17,0
69467,1019,817,22,10,0
69468,1019,832,38,7,0
69508,1020,832,48,7,0
69507,1020,817,22,11,0
69506,1020,154,8,17,0
69505,1020,9,1,19,0
69501,1020,815,13,16,0
69500,1020,846,22,10,0
69499,1020,842,55,6,0
69498,1020,826,27,8,0
69497,1020,840,18,12,0
69496,1020,8,25,9,0
69490,1020,1,225,1,7
69503,1020,841,1,18,0
69489,1020,822,184,2,2
69504,1020,847,0,20,0
69502,1020,848,15,15,0
69491,1020,830,162,3,2
69492,1020,20,141,4,0
69493,1020,844,120,5,0
69494,1020,825,18,13,0
69495,1020,807,17,14,0
69509,1021,822,188,2,2
69510,1021,1,250,1,8
69511,1021,830,181,3,2
69512,1021,20,156,4,0
69513,1021,844,132,5,0
69514,1021,825,18,13,0
69515,1021,807,17,14,0
69516,1021,8,31,8,0
69517,1021,840,18,12,0
69518,1021,826,27,9,0
69519,1021,842,63,6,0
69520,1021,846,24,10,0
69521,1021,815,13,16,0
69522,1021,848,16,15,0
69523,1021,841,1,18,0
69524,1021,847,0,20,0
69525,1021,9,1,19,0
69526,1021,154,8,17,0
69527,1021,817,22,11,0
69528,1021,832,58,7,0
69529,1022,822,203,2,2
69530,1022,1,268,1,8
69531,1022,830,181,3,2
69532,1022,20,169,4,0
69533,1022,844,157,5,1
69534,1022,825,18,16,0
69535,1022,807,21,14,0
69536,1022,8,31,9,0
69537,1022,840,19,15,0
69538,1022,826,33,8,0
69539,1022,842,65,6,0
69540,1022,846,24,11,0
69541,1022,815,21,13,0
69542,1022,848,26,10,0
69543,1022,841,1,18,0
69544,1022,847,0,20,0
69545,1022,9,1,19,0
69546,1022,154,8,17,0
69547,1022,817,22,12,0
69548,1022,832,58,7,0
69549,1023,822,221,2,2
69550,1023,1,284,1,8
69551,1023,830,185,3,2
69552,1023,20,169,5,0
69553,1023,844,182,4,2
69554,1023,825,18,16,0
69555,1023,807,31,11,0
69556,1023,8,31,12,0
69557,1023,840,19,15,0
69558,1023,826,33,10,0
69559,1023,842,65,6,0
69560,1023,846,25,14,0
69561,1023,815,27,13,0
69562,1023,848,34,9,0
69563,1023,841,3,18,0
69564,1023,847,0,20,0
69565,1023,9,1,19,0
69566,1023,154,8,17,0
69567,1023,817,34,8,0
69568,1023,832,58,7,0
69569,1024,822,231,2,2
69570,1024,1,296,1,8
69571,1024,830,200,4,2
69572,1024,20,194,5,1
69573,1024,844,200,3,2
69574,1024,825,18,16,0
69575,1024,807,33,11,0
69576,1024,8,31,13,0
69577,1024,840,19,15,0
69578,1024,826,33,10,0
69579,1024,842,69,6,0
69580,1024,846,31,12,0
69581,1024,815,27,14,0
69582,1024,848,42,8,0
69583,1024,841,4,18,0
69584,1024,847,0,20,0
69585,1024,9,1,19,0
69586,1024,154,8,17,0
69587,1024,817,34,9,0
69588,1024,832,58,7,0
69589,1025,822,249,2,2
69590,1025,1,322,1,9
69591,1025,830,212,4,2
69592,1025,20,194,5,1
69593,1025,844,215,3,2
69594,1025,825,20,15,0
69595,1025,807,34,11,0
69596,1025,8,31,14,0
69597,1025,840,19,16,0
69598,1025,826,33,12,0
69599,1025,842,69,6,0
69600,1025,846,35,9,0
69601,1025,815,33,13,0
69602,1025,848,52,8,0
69603,1025,841,4,18,0
69604,1025,847,0,20,0
69605,1025,9,1,19,0
69606,1025,154,8,17,0
69607,1025,817,34,10,0
69608,1025,832,66,7,0
69668,1026,832,76,6,0
69667,1026,817,34,12,0
69666,1026,154,8,17,0
69665,1026,9,1,19,0
69664,1026,847,0,20,0
69663,1026,841,4,18,0
69662,1026,848,64,8,0
69657,1026,840,21,15,0
69656,1026,8,31,14,0
69654,1026,825,20,16,0
69652,1026,20,212,5,1
69650,1026,1,338,1,9
69649,1026,822,274,2,3
69658,1026,826,34,11,0
69651,1026,830,212,4,2
69659,1026,842,75,7,0
69660,1026,846,35,10,0
69661,1026,815,37,9,0
69653,1026,844,223,3,2
69655,1026,807,34,13,0
69688,1027,832,76,7,0
69687,1027,817,38,10,0
69686,1027,154,8,17,0
69685,1027,9,1,19,0
69684,1027,847,0,20,0
69683,1027,841,4,18,0
69682,1027,848,74,8,0
69679,1027,842,77,6,0
69677,1027,840,21,15,0
69676,1027,8,31,14,0
69674,1027,825,20,16,0
69672,1027,20,230,4,1
69670,1027,1,363,1,10
69669,1027,822,289,2,3
69678,1027,826,34,13,0
69671,1027,830,220,5,2
69680,1027,846,35,12,0
69681,1027,815,43,9,0
69673,1027,844,236,3,2
69675,1027,807,35,11,0
69689,1028,822,314,2,4
69690,1028,1,381,1,10
69691,1028,830,235,4,2
69692,1028,20,230,5,1
69693,1028,844,249,3,2
69694,1028,825,20,16,0
69695,1028,807,37,12,0
69696,1028,8,31,14,0
69697,1028,840,21,15,0
69698,1028,826,34,13,0
69699,1028,842,77,8,0
69700,1028,846,41,11,0
69701,1028,815,44,10,0
69702,1028,848,84,6,0
69703,1028,841,4,18,0
69704,1028,847,0,20,0
69705,1028,9,1,19,0
69706,1028,154,8,17,0
69707,1028,817,46,9,0
69708,1028,832,80,7,0
69709,1029,822,314,2,4
69710,1029,1,387,1,10
69711,1029,830,260,3,3
69712,1029,20,230,5,1
69713,1029,844,249,4,2
69714,1029,825,20,16,0
69715,1029,807,37,13,0
69716,1029,8,43,12,0
69717,1029,840,21,15,0
69718,1029,826,35,14,0
69719,1029,842,95,6,0
69720,1029,846,45,11,0
69721,1029,815,46,10,0
69722,1029,848,84,8,0
69723,1029,841,14,17,0
69724,1029,847,0,20,0
69725,1029,9,1,19,0
69726,1029,154,8,18,0
69727,1029,817,54,9,0
69728,1029,832,95,7,0
69729,1030,822,326,2,4
69730,1030,1,413,1,11
69731,1030,830,278,3,3
69732,1030,20,240,5,1
69733,1030,844,264,4,2
69734,1030,825,20,16,0
69735,1030,807,37,14,0
69736,1030,8,43,12,0
69737,1030,840,21,15,0
69738,1030,826,37,13,0
69739,1030,842,95,7,0
69740,1030,846,49,11,0
69741,1030,815,52,10,0
69742,1030,848,92,8,0
69743,1030,841,14,17,0
69744,1030,847,0,20,0
69745,1030,9,1,19,0
69746,1030,154,8,18,0
69747,1030,817,54,9,0
69748,1030,832,96,6,0
69888,1034,830,52,3,0
69887,1034,817,20,9,0
69886,1034,840,20,8,0
69885,1034,825,1,16,0
69884,1034,154,0,20,0
69883,1034,847,0,19,0
69882,1034,8,0,18,0
69881,1034,848,26,6,0
69880,1034,826,1,15,0
69879,1034,849,0,17,0
69878,1034,20,10,13,0
69877,1034,841,2,14,0
69876,1034,839,12,11,0
69875,1034,842,12,12,0
69874,1034,815,22,7,0
69873,1034,832,15,10,0
69872,1034,1,88,1,3
69871,1034,846,36,4,0
69870,1034,844,33,5,0
69869,1034,822,58,2,1
70016,1040,844,57,7,0
70014,1031,830,0,20,0
70012,1031,840,0,18,0
70010,1031,154,0,16,0
70008,1031,8,0,14,0
70006,1031,826,0,12,0
70015,1040,822,161,2,2
70013,1031,817,0,19,0
70011,1031,825,0,17,0
70009,1031,847,0,15,0
70007,1031,848,0,13,0
70005,1031,849,0,11,0
70004,1031,20,1,10,0
70003,1031,841,2,9,0
70002,1031,839,4,8,0
70001,1031,842,6,7,0
70000,1031,815,8,6,0
69999,1031,832,10,5,0
69998,1031,1,12,4,0
69997,1031,846,16,3,0
69996,1031,844,18,2,0
69995,1031,822,25,1,1
69809,1032,822,43,1,1
69810,1032,844,18,4,0
69811,1032,846,26,3,0
69812,1032,1,37,2,1
69813,1032,832,13,7,0
69814,1032,815,16,5,0
69815,1032,842,6,9,0
69816,1032,839,4,11,0
69817,1032,841,2,13,0
69818,1032,20,1,15,0
69819,1032,849,0,16,0
69820,1032,826,1,14,0
69821,1032,848,12,8,0
69822,1032,8,0,17,0
69823,1032,847,0,20,0
69824,1032,154,0,19,0
69825,1032,825,0,18,0
69826,1032,840,6,10,0
69827,1032,817,4,12,0
69828,1032,830,15,6,0
69868,1033,830,33,3,0
69866,1033,840,18,8,0
69864,1033,154,0,19,0
69863,1033,847,0,20,0
69861,1033,848,22,5,0
69860,1033,826,1,15,0
69858,1033,20,9,10,0
69856,1033,839,4,13,0
69854,1033,815,22,6,0
69852,1033,1,63,1,2
69850,1033,844,18,7,0
69849,1033,822,58,2,1
69853,1033,832,15,9,0
69865,1033,825,1,16,0
69851,1033,846,26,4,0
69867,1033,817,8,11,0
69855,1033,842,6,12,0
69862,1033,8,0,17,0
69859,1033,849,0,18,0
69857,1033,841,2,14,0
69889,1034,807,0,21,0
69890,1035,822,73,3,1
69891,1035,844,45,4,0
69892,1035,846,38,5,0
69893,1035,1,107,1,3
69894,1035,832,15,11,0
69895,1035,815,22,8,0
69896,1035,842,12,12,0
69897,1035,839,16,10,0
69898,1035,841,2,15,0
69899,1035,20,10,13,0
69900,1035,849,0,19,0
69901,1035,826,2,16,0
69902,1035,848,36,6,0
69903,1035,8,0,18,0
69904,1035,847,0,20,0
69905,1035,154,0,21,0
69906,1035,825,1,17,0
69907,1035,840,28,7,0
69908,1035,817,20,9,0
69909,1035,830,77,2,1
69910,1035,807,6,14,0
69911,1036,822,89,3,1
69912,1036,844,45,4,0
69913,1036,846,39,7,0
69914,1036,1,132,1,4
69915,1036,832,23,9,0
69916,1036,815,32,8,0
69917,1036,842,14,13,0
69918,1036,839,16,12,0
69919,1036,841,2,15,0
69920,1036,20,16,11,0
69921,1036,849,0,19,0
69922,1036,826,2,16,0
69923,1036,848,40,6,0
69924,1036,8,0,18,0
69925,1036,847,0,20,0
69926,1036,154,0,21,0
69927,1036,825,1,17,0
69928,1036,840,40,5,0
69929,1036,817,20,10,0
69930,1036,830,95,2,1
69931,1036,807,6,14,0
69932,1037,822,107,3,1
69933,1037,844,45,5,0
69934,1037,846,45,6,0
69935,1037,1,157,1,5
69936,1037,832,23,11,0
69937,1037,815,33,9,0
69938,1037,842,18,12,0
69939,1037,839,26,10,0
69940,1037,841,2,15,0
69941,1037,20,16,13,0
69942,1037,849,0,19,0
69943,1037,826,2,16,0
69944,1037,848,48,4,0
69945,1037,8,0,18,0
69946,1037,847,0,20,0
69947,1037,154,0,21,0
69948,1037,825,1,17,0
69949,1037,840,42,7,0
69950,1037,817,33,8,0
69951,1037,830,110,2,1
69952,1037,807,6,14,0
69953,1038,822,117,2,1
69954,1038,844,45,7,0
69955,1038,846,57,5,0
69956,1038,1,164,1,5
69957,1038,832,41,9,0
69958,1038,815,34,11,0
69959,1038,842,43,8,1
69960,1038,839,30,12,0
69961,1038,841,2,16,0
69962,1038,20,16,13,0
69963,1038,849,0,18,0
69964,1038,826,4,15,0
69965,1038,848,48,6,0
69966,1038,8,0,19,0
69967,1038,847,0,21,0
69968,1038,154,0,20,0
69969,1038,825,1,17,0
69970,1038,840,57,4,0
69971,1038,817,41,10,0
69972,1038,830,110,3,1
69973,1038,807,6,14,0
69974,1039,822,135,2,1
69975,1039,844,49,8,0
69976,1039,846,65,4,0
69977,1039,1,190,1,6
69978,1039,832,41,11,0
69979,1039,815,44,9,0
69980,1039,842,43,10,1
69981,1039,839,30,12,0
69982,1039,841,2,17,0
69983,1039,20,17,13,0
69984,1039,849,0,19,0
69985,1039,826,10,14,0
69986,1039,848,63,5,0
69987,1039,8,2,16,0
69988,1039,847,0,20,0
69989,1039,154,0,21,0
69990,1039,825,1,18,0
69991,1039,840,57,6,0
69992,1039,817,53,7,0
69993,1039,830,110,3,1
69994,1039,807,6,15,0
70017,1040,846,65,4,0
70018,1040,1,205,1,6
70019,1040,832,41,11,0
70020,1040,815,56,9,0
70021,1040,842,45,10,1
70022,1040,839,36,12,0
70023,1040,841,2,17,0
70024,1040,20,17,13,0
70025,1040,849,0,19,0
70026,1040,826,14,14,0
70027,1040,848,64,5,0
70028,1040,8,2,16,0
70029,1040,847,0,20,0
70030,1040,154,0,21,0
70031,1040,825,1,18,0
70032,1040,840,57,8,0
70033,1040,817,63,6,0
70034,1040,830,128,3,1
70035,1040,807,6,15,0
70036,1041,822,161,2,2
70037,1041,844,63,8,0
70038,1041,846,65,6,0
70039,1041,1,230,1,7
70040,1041,832,51,11,0
70041,1041,815,68,5,0
70042,1041,842,53,10,1
70043,1041,839,36,12,0
70044,1041,841,3,16,0
70045,1041,20,17,13,0
70046,1041,849,0,20,0
70047,1041,826,14,14,0
70048,1041,848,64,7,0
70049,1041,8,2,17,0
70050,1041,847,0,21,0
70051,1041,154,2,18,0
70052,1041,825,1,19,0
70053,1041,840,57,9,0
70054,1041,817,78,4,0
70055,1041,830,147,3,1
70056,1041,807,10,15,0
70057,1042,822,179,2,2
70058,1042,844,75,5,0
70059,1042,846,65,7,0
70060,1042,1,256,1,8
70061,1042,832,59,10,0
70062,1042,815,74,6,0
70063,1042,842,63,9,1
70064,1042,839,40,12,0
70065,1042,841,3,16,0
70066,1042,20,18,13,0
70067,1042,849,0,20,0
70068,1042,826,14,14,0
70069,1042,848,64,8,0
70070,1042,8,2,17,0
70071,1042,847,0,21,0
70072,1042,154,2,18,0
70073,1042,825,1,19,0
70074,1042,840,57,11,0
70075,1042,817,80,4,0
70076,1042,830,162,3,1
70077,1042,807,10,15,0
70078,1043,822,197,2,2
70079,1043,844,85,5,0
70080,1043,846,69,7,0
70081,1043,1,282,1,9
70082,1043,832,65,8,0
70083,1043,815,82,6,0
70084,1043,842,63,10,1
70085,1043,839,40,12,0
70086,1043,841,4,17,0
70087,1043,20,18,14,0
70088,1043,849,0,20,0
70089,1043,826,26,13,0
70090,1043,848,64,9,0
70091,1043,8,4,16,0
70092,1043,847,0,21,0
70093,1043,154,2,18,0
70094,1043,825,1,19,0
70095,1043,840,57,11,0
70096,1043,817,95,4,0
70097,1043,830,162,3,1
70098,1043,807,10,15,0
70099,1044,822,197,2,2
70100,1044,844,97,5,0
70101,1044,846,74,8,0
70102,1044,1,307,1,10
70103,1044,832,75,7,0
70104,1044,815,100,4,0
70105,1044,842,63,10,1
70106,1044,839,40,12,0
70107,1044,841,4,17,0
70108,1044,20,33,13,0
70109,1044,849,0,20,0
70110,1044,826,26,14,0
70111,1044,848,70,9,0
70112,1044,8,4,16,0
70113,1044,847,0,21,0
70114,1044,154,2,18,0
70115,1044,825,1,19,0
70116,1044,840,59,11,0
70117,1044,817,96,6,0
70118,1044,830,170,3,1
70119,1044,807,10,15,0
70120,1045,822,201,2,2
70121,1045,844,98,6,0
70122,1045,846,86,7,0
70123,1045,1,332,1,11
70124,1045,832,85,8,0
70125,1045,815,100,5,0
70126,1045,842,71,10,1
70127,1045,839,42,12,0
70128,1045,841,4,17,0
70129,1045,20,33,13,0
70130,1045,849,0,20,0
70131,1045,826,26,14,0
70132,1045,848,85,9,0
70133,1045,8,4,16,0
70134,1045,847,0,21,0
70135,1045,154,2,18,0
70136,1045,825,1,19,0
70137,1045,840,59,11,0
70138,1045,817,102,4,0
70139,1045,830,189,3,1
70140,1045,807,10,15,0
70141,1046,822,205,2,2
70142,1046,844,98,6,0
70143,1046,846,87,9,0
70144,1046,1,332,1,11
70145,1046,832,97,7,0
70146,1046,815,125,4,1
70147,1046,842,71,11,1
70148,1046,839,60,12,0
70149,1046,841,4,17,0
70150,1046,20,33,13,0
70151,1046,849,0,21,0
70152,1046,826,32,14,0
70153,1046,848,93,8,0
70154,1046,8,4,16,0
70155,1046,847,3,18,0
70156,1046,154,2,19,0
70157,1046,825,1,20,0
70158,1046,840,74,10,0
70159,1046,817,112,5,0
70160,1046,830,189,3,1
70161,1046,807,10,15,0
70162,1046,851,0,22,0
70163,1046,850,0,23,0
70208,1047,851,0,22,0
70207,1047,807,10,15,0
70206,1047,830,214,3,2
70205,1047,817,119,5,0
70203,1047,825,1,20,0
70201,1047,847,3,18,0
70198,1047,826,32,14,0
70196,1047,20,33,13,0
70194,1047,839,62,12,0
70192,1047,815,125,4,1
70190,1047,1,347,1,11
70191,1047,832,105,6,0
70193,1047,842,75,10,1
70202,1047,154,2,19,0
70209,1047,850,0,23,0
70195,1047,841,4,17,0
70204,1047,840,75,11,0
70189,1047,846,97,9,0
70200,1047,8,4,16,0
70199,1047,848,105,7,0
70197,1047,849,0,21,0
70188,1047,844,98,8,0
70187,1047,822,223,2,2
70718,1051,9,0,20,0
70717,1051,853,0,21,0
70716,1051,4,77,10,0
70715,1051,849,7,17,0
70714,1051,842,92,9,0
70713,1051,854,0,19,0
70712,1051,20,43,12,0
70711,1051,847,16,15,0
70710,1051,839,60,11,1
70709,1051,841,1,18,0
70708,1051,8,10,16,0
70707,1051,840,34,13,0
70706,1051,852,20,14,0
70705,1051,832,145.5,7,0
70704,1051,817,105,8,1
70703,1051,844,152,6,0
70702,1051,815,190,4,1
70701,1051,846,153,5,0
70700,1051,822,203,3,1
70699,1051,830,351.5,1,9
70698,1051,1,343.5,2,7
70231,1052,1,25,1,1
70232,1052,830,18,2,0
70233,1052,822,16,3,0
70234,1052,846,12,4,0
70235,1052,815,10,5,0
70236,1052,844,8,6,0
70237,1052,817,6,7,0
70238,1052,832,4,8,0
70239,1052,852,2,9,0
70240,1052,840,1,10,0
70241,1052,8,0,11,0
70242,1052,841,0,12,0
70243,1052,839,0,13,0
70244,1052,847,0,14,0
70245,1052,20,0,15,0
70246,1052,854,0,16,0
70247,1052,842,0,17,0
70248,1052,849,0,18,0
70249,1052,4,0,19,0
70250,1052,853,0,20,0
70300,1053,840,5,10,0
70295,1053,815,10,8,0
70310,1053,853,0,19,0
70309,1053,4,1,13,0
70308,1053,849,0,20,0
70307,1053,842,6,9,0
70298,1053,832,14,6,0
70296,1053,844,20,4,0
70292,1053,830,43,2,1
70305,1053,20,0,17,0
70304,1053,847,0,16,0
70306,1053,854,0,18,0
70303,1053,839,2,12,0
70302,1053,841,0,15,0
70301,1053,8,0,14,0
70299,1053,852,2,11,0
70297,1053,817,14,7,0
70294,1053,846,27,3,0
70293,1053,822,16,5,0
70291,1053,1,44,1,1
70311,1054,1,69,1,2
70312,1054,830,61,2,1
70313,1054,822,32,4,0
70314,1054,846,37,3,0
70315,1054,815,22,6,0
70316,1054,844,28,5,0
70317,1054,817,16,7,0
70318,1054,832,14,8,0
70319,1054,852,2,13,0
70320,1054,840,5,11,0
70321,1054,8,0,14,0
70322,1054,841,0,15,0
70323,1054,839,8,9,0
70324,1054,847,0,17,0
70325,1054,20,0,16,0
70326,1054,854,0,18,0
70327,1054,842,7,10,0
70328,1054,849,0,20,0
70329,1054,4,5,12,0
70330,1054,853,0,19,0
70331,1055,1,94,1,3
70332,1055,830,80,2,1
70333,1055,822,47,3,0
70334,1055,846,41,4,0
70335,1055,815,32,6,0
70336,1055,844,40,5,0
70337,1055,817,24,7,0
70338,1055,832,20,8,0
70339,1055,852,2,13,0
70340,1055,840,5,11,0
70341,1055,8,0,14,0
70342,1055,841,0,15,0
70343,1055,839,10,9,0
70344,1055,847,0,17,0
70345,1055,20,0,16,0
70346,1055,854,0,18,0
70347,1055,842,8,10,0
70348,1055,849,0,19,0
